Schema_Version,Scrape_Timestamp,Days_to_Departure,Departure_Date,Day_of_Week,Booking_Day_Of_Week,Departure_Time,Departure_ISO,Departure_Hour,Arrival_Time,Arrival_ISO,Is_Weekend_Departure,Is_Overnight,Source_City,Destination_City,Airline,Flight_Number,Aircraft,Total_Duration_Mins,Number_of_Stops,Layover_City,Layover_Duration_Mins,Self_Transfer,CO2_Emissions_Kg,CO2_Delta_Pct,Num_Results,Data_Source,Flight_Category,Price_INR,Carbon_Typical_g,Currency,Cabin_Class,Run_Id
4,2026-06-18 23:55:16,1,2026-06-19,Friday,Thursday,7:10 AM,2026-06-19T07:10:00,7,5:45 PM,2026-06-19T17:45:00,0,0,CCU,JAI,IndiGo,,Airbus A321neo,190,1,LKO,445,0,121,22,5,fast-flights,Best,9504,99000,INR,economy,20260618T181703Z
4,2026-06-18 23:55:16,1,2026-06-19,Friday,Thursday,7:10 AM,2026-06-19T07:10:00,7,5:45 PM,2026-06-19T17:45:00,0,0,CCU,JAI,IndiGo,,Airbus A321neo,190,1,LKO,445,0,121,22,5,fast-flights,Cheapest,9504,99000,INR,economy,20260618T181703Z
4,2026-06-18 23:55:16,1,2026-06-19,Friday,Thursday,,,,8:15 AM,2026-06-20T08:15:00,0,0,CCU,JAI,Air India,,Airbus A320neo,210,1,DEL,,0,169,71,5,fast-flights,Median,28351,99000,INR,economy,20260618T181703Z
4,2026-06-19 00:02:46,1,2026-06-20,Saturday,Friday,11:45 AM,2026-06-20T11:45:00,11,6:10 PM,2026-06-20T18:10:00,1,0,CCU,MAA,IndiGo,,Airbus A321neo,215,1,BLR,170,0,143,46,6,fast-flights,Best,12373,98000,INR,economy,20260618T181703Z
4,2026-06-19 00:02:46,1,2026-06-20,Saturday,Friday,11:45 AM,2026-06-20T11:45:00,11,6:10 PM,2026-06-20T18:10:00,1,0,CCU,MAA,IndiGo,,Airbus A321neo,215,1,BLR,170,0,143,46,6,fast-flights,Cheapest,12373,98000,INR,economy,20260618T181703Z
4,2026-06-19 00:02:46,1,2026-06-20,Saturday,Friday,6:10 PM,2026-06-20T18:10:00,18,8:30 PM,2026-06-20T20:30:00,1,0,CCU,MAA,IndiGo,,Airbus A320,140,0,,,0,121,23,6,fast-flights,Median,15827,98000,INR,economy,20260618T181703Z
4,2026-06-19 00:04:12,7,2026-06-26,Friday,Friday,10:55 AM,2026-06-26T10:55:00,10,7:10 PM,2026-06-26T19:10:00,0,0,CCU,MAA,IndiGo,,Airbus A321neo,215,1,HYD,280,0,139,42,5,fast-flights,Best,8406,98000,INR,economy,20260618T181703Z
4,2026-06-19 00:04:12,7,2026-06-26,Friday,Friday,10:55 AM,2026-06-26T10:55:00,10,7:10 PM,2026-06-26T19:10:00,0,0,CCU,MAA,IndiGo,,Airbus A321neo,215,1,HYD,280,0,139,42,5,fast-flights,Cheapest,8406,98000,INR,economy,20260618T181703Z
4,2026-06-19 00:04:12,7,2026-06-26,Friday,Friday,6:10 PM,2026-06-26T18:10:00,18,8:30 PM,2026-06-26T20:30:00,0,0,CCU,MAA,IndiGo,,Airbus A320,140,0,,,0,121,23,5,fast-flights,Median,10472,98000,INR,economy,20260618T181703Z
4,2026-06-19 00:06:55,1,2026-06-20,Saturday,Friday,,,,6:15 PM,2026-06-20T18:15:00,1,0,CCU,PNQ,Air India,,Airbus A320neo,290,1,DEL,,0,215,85,11,fast-flights,Best,8977,116000,INR,economy,20260618T181703Z
